1    ,    1    ,    0.000217
2    ,    5    ,    0.000393
3    ,    5    ,    0.000505
4    ,    10    ,    0.000114
5    ,    11    ,    0.000159
6    ,    22    ,    0.001347
7    ,    14    ,    0.000211
8    ,    24    ,    0.000267
9    ,    63    ,    0.000534
10    ,    65    ,    0.000548
11    ,    133    ,    0.000983
12    ,    145    ,    0.001148
13    ,    285    ,    0.002253
14    ,    270    ,    0.002099
15    ,    778    ,    0.00719
16    ,    852    ,    0.008061
16    ,    852    ,    0.009227
18    ,    2202    ,    0.024699
19    ,    3513    ,    0.035213
20    ,    4145    ,    0.042037
