1    ,   3     ,        0.000147
2    ,   43     ,        0.00072
3    ,   58     ,        0.00098
4    ,   157     ,        0.000388
5    ,   203     ,        0.000426
6    ,   798     ,        0.009602
7    ,   792     ,        0.001554
8    ,   2163     ,        0.004971
9    ,   2653     ,        0.005903
10    ,   7558     ,        0.016763
11    ,   6813     ,        0.014842
12    ,   15541     ,        0.034964
13    ,   19916     ,        0.044805
14    ,   50705     ,        0.121061
15    ,   58663     ,        0.139612
16    ,   131084     ,        0.329926
16    ,   131084     ,        0.354411
18    ,   215162     ,        0.575845
19    ,   338948     ,        0.913499
20    ,   654094     ,        1.83414
