1    ,    1    ,    0.000158
2    ,    2    ,    0.000369
3    ,    6    ,    0.000705
4    ,    12    ,    0.000253
5    ,    26    ,    0.002006
6    ,    69    ,    0.004984
7    ,    68    ,    0.001901
8    ,    152    ,    0.001936
9    ,    213    ,    0.002688
10    ,    381    ,    0.005154
11    ,    702    ,    0.024246
12    ,    724    ,    0.015418
13    ,    1934    ,    0.032301
14    ,    2862    ,    0.048998
15    ,    5154    ,    0.085421
16    ,    6348    ,    0.103697
16    ,    6348    ,    0.098202
18    ,    15526    ,    0.281347
19    ,    21954    ,    0.384547
20    ,    30158    ,    0.534673
