1   ,   3     ,     0.000147
24   ,   100     ,     0.003542
25   ,   146     ,     0.003903
24   ,   137     ,     0.000763
25   ,   167     ,     0.002025
24   ,   445     ,     0.007322
25   ,   497     ,     0.001527
24   ,   1245     ,     0.002897
25   ,   1597     ,     0.003983
24   ,   6234     ,     0.014539
25   ,   3590     ,     0.008697
24   ,   7673     ,     0.018958
25   ,   10986     ,     0.025825
24   ,   39196     ,     0.095643
25   ,   34866     ,     0.085671
24   ,   76282     ,     0.192007
24   ,   76282     ,     0.20176
24   ,   77975     ,     0.230661
25   ,   232906     ,     0.617904
24   ,   329530     ,     0.889562
